Parametro Richiesto,Valore Inserito,Giustificazione,Unnamed: 3,Risorsa IT (Architettura Fisica),Quantità,Costo Mensile Unitario,Costo Mensile Totale
Numero utenti/giorno,1200,"Alta densità, filiale aperta con orario continuato.",,Server Web / Frontend (Cloud),3,120.0,360.0
Tempo medio di servizio (μ),6 minuti,Media tra operazioni rapide (ritiri) e lunghe (apertura conti).,,Server Database Relazionale,2,250.0,500.0
Operatori attivi (c),12 sportelli,"Filiale centrale grande, per smaltire il traffico.",,Load Balancer (Bilanciatore),1,80.0,80.0
Capacità oraria (c\times\μ),120,Calcolata con formula: =12*(60/6). Significa 120 utenti l'ora.,,Storage Dati NAS/SAN (2 TB),1,150.0,150.0
Picchi di traffico orari,190 (mattina) e 210 (pranzo),Arrivi concentrati nelle fasce di pausa lavorativa.,,API Gateway & Servizio Code,1,90.0,90.0
Numero richieste API/minuto,600 (nei picchi),"Prenotazioni app, totem e refresh schermi sala.",,TOTALE MENSILE,,,1180.0
Volume dati stimato,5 GB/giorno (1.5 TB/anno),Scansioni documenti d'identità e firme digitali.,,,,,
,,,,,,,
,,,,,,,
Fascia Oraria,Utenti in Arrivo (λ),Capacità di Smaltimento (μ),Utenti in Coda (Lq),,,,
08:00-09:00,60,120,0,,,,
09:00-10:00,140,120,20,,,,
10:00-11:00,190,120,90,,,,
11:00-12:00,150,120,120,,,,
12:00-13:00,90,120,90,,,,
13:00-14:00,210,120,180,,,,
14:00-15:00,110,120,170,,,,
15:00-16:00,80,120,130,,,,
16:00-17:00,70,120,80,,,,
17:00-18:00,60,120,20,,,,
18:00-19:00,40,120,0,,,,
,,,,,,,
,,,,,,,
Fascia Oraria,Utenti Concorrenti (App/Web/Totem),CPU Totale (Stima %),RAM Necessaria (GB),Banda Netta (Mbps),Banda Netta + Overhead (Mbps),,
08:00-09:00,25,0.201,6.75,64.5,77.4,,
09:00-10:00,56,0.4335,7.99,142,170.4,,
10:00-11:00,76,0.5835,8.79,192,230.4,,
11:00-12:00,60,0.4635,8.15,152,182.4,,
12:00-13:00,36,0.2835,7.19,92,110.4,,
13:00-14:00,84,0.6435,9.11,212,254.4,,
14:00-15:00,44,0.3435,7.51,112,134.4,,
15:00-16:00,32,0.2535,7.03,82,98.4,,
16:00-17:00,28,0.2235,6.87,72,86.4,,
17:00-18:00,24,0.1935,6.71,62,74.4,,
18:00-19:00,16,0.1335,6.39,42,50.4,,
